unit,time,y,w
16,1,0.053505168734603537,0
16,2,0.07249158814413814,0
16,3,0.09019435926144759,0
16,4,0.12254014691074211,0
16,5,0.12292365023232765,0
16,6,0.11247893762198746,0
16,7,0.1840227031897328,0
16,8,0.19395286600171513,0
16,9,0.20676505777216736,0
16,10,0.22207954544240582,0
16,11,0.22475820430206994,0
16,12,0.28121257327653204,0
16,13,0.25572412633175734,0
16,14,0.19283816738275927,0
16,15,0.18687592137064613,0
16,16,0.05665962272791347,0
16,17,0.07247418564755748,0
16,18,0.13873621331950758,0
16,19,0.19252335802513532,0
16,20,0.24686991980176476,0
16,21,0.2985370818449926,0
16,22,0.33649542016039735,0
16,23,0.20049206604821812,0
16,24,0.16345851120387334,0
16,25,0.1983224579523597,0
16,26,0.20112395830795382,0
16,27,0.23308096667755684,0
16,28,0.2727271817889232,0
16,29,0.31793922688547394,0
16,30,0.38840355844838026,0
16,31,0.40512185275971646,0
16,32,0.45616820884764664,0
16,33,0.5404861612276353,0
16,34,0.5844531890679043,0
16,35,0.61866095282583,0
16,36,0.6915963176760798,0
16,37,0.740090186632008,0
16,38,0.7826244378164837,0
16,39,0.7984306975682625,1
16,40,0.7813509494086102,1
16,41,0.8080370613777621,1
16,42,0.8260263116718196,1
16,43,0.8345422632756456,1
16,44,0.8563145611476681,1
16,45,0.9042203799632844,1
16,46,0.9456391845994752,1
16,47,0.9882981079966875,1
16,48,1.0198270562674807,1
17,1,-1.5906358251812023,0
17,2,-1.751910641169058,0
17,3,-1.7081058185343005,0
17,4,-1.6200480607962282,0
17,5,-1.5357887690818295,0
17,6,-1.4694517160366187,0
17,7,-1.463410105892092,0
17,8,-1.4801784833279799,0
17,9,-1.5230013187584097,0
17,10,-1.4641675052920178,0
17,11,-1.37865213402059,0
17,12,-1.3474374798336086,0
17,13,-1.3550866138616087,0
17,14,-1.3084542714400662,0
17,15,-1.3050268255078494,0
17,16,-1.2652837273918465,0
17,17,-1.307644998451222,0
17,18,-1.2748323935724644,0
17,19,-1.1937602753856327,0
17,20,-1.141105888708874,0
17,21,-1.1108359567727488,0
17,22,-1.098144104388627,0
17,23,-1.035815346963087,0
17,24,-0.9905688365932246,0
17,25,-0.9140466593776937,0
17,26,-0.858240585694003,0
17,27,-0.8198045855940075,0
17,28,-0.7680486855103918,0
17,29,-0.7388974360415492,0
17,30,-0.7476240073144984,0
17,31,-0.7602456163065954,0
17,32,-0.732804829014138,0
17,33,-0.6766464952516111,0
17,34,-0.5975455135103322,0
17,35,-0.5346582051156581,0
17,36,-0.4646877177856208,0
17,37,-0.4074929237630194,0
17,38,-0.3762019138402257,0
17,39,-0.36302142372389046,0
17,40,-0.32017024107798164,0
17,41,-0.26500509273797235,0
17,42,-0.20651819114477998,0
17,43,-0.13607773169021975,0
17,44,-0.07662605572265768,0
17,45,-0.0018873056375836583,0
17,46,0.08479474481927518,0
17,47,0.17660847492411236,0
17,48,0.2611692631212783,0
18,1,-0.6512690094375921,0
18,2,-0.5745284517723928,0
18,3,-0.6060614679059659,0
18,4,-0.5306407616564845,0
18,5,-0.41948531898470076,0
18,6,-0.4781987173650215,0
18,7,-0.4258430457883877,0
18,8,-0.43399713022431907,0
18,9,-0.3593415559031756,0
18,10,-0.3410446354355141,0
18,11,-0.3068930254255733,0
18,12,-0.2679888778473334,0
18,13,-0.2718045770288269,0
18,14,-0.26286159740972703,0
18,15,-0.26703630771603404,0
18,16,-0.23980292280287152,0
18,17,-0.18349711621318665,0
18,18,-0.1835515961405969,0
18,19,-0.1422999487985912,0
18,20,-0.16427843621206062,0
18,21,-0.2994158609783266,0
18,22,-0.3072441551248293,0
18,23,-0.3417681284735803,0
18,24,-0.41071648797810134,0
18,25,-0.46822266915376964,0
18,26,-0.4644609801690791,0
18,27,-0.46960285515550027,0
18,28,-0.5036430041612876,0
18,29,-0.5247526815802788,0
18,30,-0.4601408839708503,0
18,31,-0.5005400794254111,0
18,32,-0.5299107798952729,0
18,33,-0.5646895329277637,0
18,34,-0.5969876068749,0
18,35,-0.6071498181494297,0
18,36,-0.5766368550892871,0
18,37,-0.547560537349943,0
18,38,-0.5259468228214947,0
18,39,-0.5073898111291681,0
18,40,-0.5129405893548569,0
18,41,-0.5502971831219217,0
18,42,-0.5669470954097751,0
18,43,-0.5971096732123611,0
18,44,-0.6236928147634284,0
18,45,-0.6284178860485783,0
18,46,-0.6297415696221691,0
18,47,-0.6335894637960413,0
18,48,-0.6360861412204173,0
19,1,-0.7275000357736001,0
19,2,-0.7288860282434131,0
19,3,-0.7182315957935819,0
19,4,-0.705749928042775,0
19,5,-0.689719972663223,0
19,6,-0.6666552763097178,0
19,7,-0.6414097287630165,0
19,8,-0.756340098254209,0
19,9,-0.7149612137296399,0
19,10,-0.7031886929319517,0
19,11,-0.677140938615473,0
19,12,-0.6750324406068815,0
19,13,-0.6724258464438071,0
19,14,-0.6552646973429122,0
19,15,-0.6491733740767547,0
19,16,-0.6408760914437011,0
19,17,-0.712143526463886,0
19,18,-0.6276376846650953,0
19,19,-0.484403262850182,0
19,20,-0.45978940074183505,0
19,21,-0.3899070041630406,0
19,22,-0.3560888908210531,0
19,23,-0.3212890678241829,0
19,24,-0.2792431251880414,0
19,25,-0.2401393814105095,0
19,26,-0.24675993120877937,0
19,27,-0.31854552890272725,0
19,28,-0.3933967105528202,0
19,29,-0.4518478964738346,0
19,30,-0.5043968359749194,0
19,31,-0.5830384974961316,0
19,32,-0.6398705285941935,0
19,33,-0.6899644336399033,0
19,34,-0.7404488506843121,0
19,35,-0.7455937201415983,0
19,36,-0.7391357243825931,0
19,37,-0.7248836939960821,0
19,38,-0.7031751299499387,0
19,39,-0.6871029662753747,0
19,40,-0.6727913159889969,0
19,41,-0.6647294770350394,0
19,42,-0.6503599135011564,0
